exit_page_url,page_path,date,day_of_week_name,exits,exit_rate
/,/webinars/,2020-03-19,Thursday,0,0
/,/webinars/,2020-03-24,Tuesday,0,0
/,/webinars/,2020-03-25,Wednesday,0,0
/,/webinars/,2020-03-27,Friday,0,0
/,/webinars/,2020-03-29,Sunday,0,0
/,/webinars/,2020-03-30,Monday,0,0
/,/webinars/,2020-03-31,Tuesday,0,0
/,/webinars/,2020-04-01,Wednesday,0,0
/,/webinars/,2020-04-04,Saturday,0,0
/,/webinars/,2020-04-06,Monday,0,0
/,/webinars/,2020-04-07,Tuesday,0,0
/,/webinars/,2020-04-08,Wednesday,0,0
/,/webinars/,2020-04-09,Thursday,0,0
/,/webinars/,2020-04-10,Friday,0,0
/,/webinars/,2020-04-11,Saturday,0,0
/,/webinars/,2020-04-13,Monday,0,0
/,/webinars/,2020-04-14,Tuesday,0,0
/,/webinars/,2020-04-15,Wednesday,0,0
/,/webinars/?elementor-preview=19875&ver=1584633159,2020-03-19,Thursday,0,0
/,/webinars/?elementor-preview=19875&ver=1585753604,2020-04-01,Wednesday,0,0
/,/webinars/?elementor-preview=19875&ver=1586269278,2020-04-07,Tuesday,0,0
/,/webinars/?fbclid=IwAR0DVoAHsDKhn1COx3wbeId2RmyGGwkN6YeEVqGCgzq9SXCFDqyEYFyeEes,2020-03-31,Tuesday,0,0
/,/webinars/,2020-03-24,Tuesday,0,0
/2020-new-data-analysis/,/webinars/,2020-03-31,Tuesday,0,0
/2020-new-data-analysis/,/webinars/,2020-04-06,Monday,0,0
/2020-new-managing-software-development-teams/,/webinars/,2020-04-08,Wednesday,0,0
/2020-new-managing-software-development-teams/,/webinars/,2020-04-09,Thursday,0,0
/2020-new-managing-software-development-teams/,/webinars/?elementor-preview=19875&ver=1586431262,2020-04-09,Thursday,0,0
/2020-new-managing-software-development-teams/,/webinars/,2020-04-10,Friday,0,0
/2020-new-managing-software-development-teams/,/webinars/?elementor-preview=19875&ver=1586516409,2020-04-10,Friday,0,0
/2020-new-managing-software-development-teams/,/webinars/?preview_id=19875&preview_nonce=dda609d1fc&preview=true,2020-04-10,Friday,0,0
/about-us/our-team/,/webinars/,2020-03-24,Tuesday,0,0
/about-us/our-team/,/webinars/,2020-04-06,Monday,0,0
/about-us/our-team/,/webinars/,2020-04-13,Monday,0,0
/blog/,/webinars/,2020-03-22,Sunday,0,0
/blog/,/webinars/,2020-03-30,Monday,0,0
/blog/7-reasons-to-study-data-analysis-at-codeclan/,/webinars/,2020-03-24,Tuesday,0,0
/blog/7-reasons-to-study-data-analysis-at-codeclan/,/webinars/,2020-03-30,Monday,0,0
/blog/glasgow-coding-bootcamp-career/,/webinars/,2020-04-08,Wednesday,0,0
/blog/linda-scott-codeclan-cmo/,/webinars/,2020-03-27,Friday,0,0
/blog/meet-the-team-katie-jeffree/,/webinars/,2020-04-02,Thursday,0,0
/blog/most-asked-questions/,/webinars/,2020-03-24,Tuesday,0,0
/blog/stress-awareness-month/,/webinars/,2020-04-08,Wednesday,0,0
/blog/top-data-podcasts/,/webinars/,2020-03-26,Thursday,0,0
/coronavirus/,/webinars/,2020-03-18,Wednesday,0,0
/coronavirus/,/webinars/,2020-03-21,Saturday,0,0
/coronavirus/,/webinars/,2020-04-01,Wednesday,0,0
/coronavirus/,/webinars/,2020-04-08,Wednesday,0,0
/courses/,/webinars/,2020-03-24,Tuesday,0,0
/courses/,/webinars/,2020-03-26,Thursday,0,0
/courses/,/webinars/,2020-04-01,Wednesday,0,0
/courses/,/webinars/,2020-04-09,Thursday,0,0
/courses/agile-for-effective-teams/,/webinars/,2020-03-23,Monday,0,0
/courses/agile-for-effective-teams/,/webinars/,2020-03-30,Monday,0,0
/courses/agile-for-effective-teams/,/webinars/,2020-03-31,Tuesday,0,0
/courses/data-analysis/,/webinars/,2020-03-22,Sunday,0,0
/courses/data-analysis/,/webinars/,2020-03-23,Monday,0,0
/courses/data-analysis/,/webinars/,2020-03-24,Tuesday,0,0
/courses/data-analysis/,/webinars/,2020-03-31,Tuesday,0,0
/courses/data-analysis/,/webinars/,2020-04-04,Saturday,0,0
/courses/data-analysis/,/webinars/,2020-04-09,Thursday,0,0
/courses/data-analysis/,/webinars/,2020-04-10,Friday,0,0
/courses/data-analysis/,/webinars/,2020-04-13,Monday,0,0
/courses/data-analysis/,/webinars/,2020-04-14,Tuesday,0,0
/courses/data-analysis/,/webinars/,2020-04-15,Wednesday,0,0
/courses/data-analysis/,/webinars/,2020-04-09,Thursday,0,0
/courses/data-analysis/,/webinars/?elementor-preview=19875&ver=1586432823,2020-04-09,Thursday,0,0
/courses/data-analysis/application-process/,/webinars/,2020-04-05,Sunday,0,0
/courses/data-analysis/apply/,/webinars/,2020-03-22,Sunday,0,0
/courses/data-analysis/apply/,/webinars/,2020-03-26,Thursday,0,0
/courses/data-analysis/case-study/,/webinars/,2020-04-02,Thursday,0,0
/courses/data-analysis/cost-and-funding/,/webinars/,2020-03-21,Saturday,0,0
/courses/data-analysis/cost-and-funding/,/webinars/,2020-03-24,Tuesday,0,0
/courses/data-analysis/cost-and-funding/,/webinars/,2020-03-30,Monday,0,0
/courses/data-analysis/cost-and-funding/,/webinars/,2020-04-14,Tuesday,0,0
/courses/data-analysis/info-pack/,/webinars/,2020-04-13,Monday,0,0
/courses/data-analysis/info-pack/,/webinars/,2020-04-15,Wednesday,0,0
/courses/edaid-apply/,/webinars/,2020-03-26,Thursday,0,0
/courses/edaid-apply/,/webinars/,2020-03-28,Saturday,0,0
/courses/edaid-apply/,/webinars/,2020-04-01,Wednesday,0,0
/courses/edaid-apply/,/webinars/,2020-04-02,Thursday,0,0
/courses/full-stack-web-development/,/webinars/,2020-03-19,Thursday,0,0
/courses/professional-software-development/,/webinars/,2020-03-27,Friday,0,0
/courses/professional-software-development/,/webinars/,2020-03-28,Saturday,0,0
/courses/professional-software-development/,/webinars/,2020-03-31,Tuesday,0,0
/courses/professional-software-development/,/webinars/,2020-04-02,Thursday,0,0
/courses/professional-software-development/,/webinars/,2020-04-06,Monday,0,0
/courses/professional-software-development/,/webinars/,2020-04-07,Tuesday,0,0
/courses/professional-software-development/,/webinars/,2020-04-09,Thursday,0,0
/courses/professional-software-development/,/webinars/,2020-04-10,Friday,0,0
/courses/professional-software-development/,/webinars/,2020-04-12,Sunday,0,0
/courses/professional-software-development/,/webinars/,2020-04-15,Wednesday,0,0
/courses/professional-software-development/,/webinars/,2020-03-18,Wednesday,0,0
/courses/professional-software-development/,/webinars/,2020-03-30,Monday,0,0
/courses/professional-software-development/apply/,/webinars/,2020-03-21,Saturday,0,0
/courses/professional-software-development/apply/,/webinars/,2020-03-31,Tuesday,0,0
/courses/professional-software-development/apply/,/webinars/,2020-04-03,Friday,0,0
/courses/professional-software-development/apply/,/webinars/,2020-04-08,Wednesday,0,0
/courses/professional-software-development/cost-and-funding/,/webinars/,2020-03-20,Friday,0,0
/courses/professional-software-development/cost-and-funding/,/webinars/,2020-03-26,Thursday,0,0
/courses/professional-software-development/cost-and-funding/,/webinars/,2020-04-02,Thursday,0,0
/courses/professional-software-development/cost-and-funding/,/webinars/,2020-04-06,Monday,0,0
/courses/professional-software-development/cost-and-funding/,/webinars/,2020-04-07,Tuesday,0,0
/courses/professional-software-development/student-projects/,/webinars/,2020-03-25,Wednesday,0,0
/courses/professional-software-development/thank-you-syllabus-download/,/webinars/,2020-03-24,Tuesday,0,0
/courses/professional-software-development/thank-you-syllabus-download/,/webinars/,2020-04-06,Monday,0,0
/courses/python-for-developers/,/webinars/,2020-03-26,Thursday,0,0
/courses/short-courses/,/webinars/,2020-03-22,Sunday,0,0
/courses/short-courses/,/webinars/,2020-03-25,Wednesday,0,0
/courses/understand-software-applications/,/webinars/,2020-04-14,Tuesday,0,0
/courses/understanding-software-development/,/webinars/,2020-03-19,Thursday,0,0
/courses/understanding-software-development/,/webinars/,2020-03-22,Sunday,0,0
/courses/understanding-software-development/,/webinars/,2020-03-31,Tuesday,0,0
/courses/understanding-software-development/,/webinars/,2020-04-06,Monday,0,0
/courses/understanding-software-development/,/webinars/,2020-04-10,Friday,0,0
/courses/understanding-software-development/,/webinars/,2020-04-14,Tuesday,0,0
/courses/understanding-software-development/,/webinars/?elementor-preview=19875&ver=1586520669,2020-04-10,Friday,0,0
/courses/understanding-software-development/,/webinars/?preview_id=19875&preview_nonce=295af978d6&preview=true,2020-04-10,Friday,0,0
/courses/ux-design-fundamentals/,/webinars/,2020-03-25,Wednesday,0,0
/courses/ux-design-fundamentals/,/webinars/,2020-04-13,Monday,0,0
/digital-careers/,/webinars/,2020-03-20,Friday,0,0
/edinburgh/,/webinars/,2020-03-30,Monday,0,0
/Edinburgh/,/webinars/,2020-03-25,Wednesday,0,0
/enquire/,/webinars/,2020-04-01,Wednesday,0,0
/events/partner-events/,/webinars/,2020-03-24,Tuesday,0,0
/for-employers/,/webinars/,2020-03-24,Tuesday,0,0
/for-employers/become-a-partner/,/webinars/,2020-03-19,Thursday,0,0
/for-employers/client-xperience/,/webinars/,2020-03-29,Sunday,0,0
/for-employers/hire-with-codeclan/,/webinars/,2020-03-31,Tuesday,0,0
/glasgow/,/webinars/,2020-03-25,Wednesday,0,0
/glasgow/,/webinars/,2020-03-31,Tuesday,0,0
/the-codeclan-experience/a-typical-day/,/webinars/,2020-04-04,Saturday,0,0
/the-codeclan-experience/a-typical-day/,/webinars/,2020-04-10,Friday,0,0
/the-codeclan-experience/the-alumni/,/webinars/,2020-03-26,Thursday,0,0
/the-codeclan-experience/the-alumni/,/webinars/,2020-03-27,Friday,0,0
/the-codeclan-experience/the-alumni/,/webinars/,2020-04-06,Monday,0,0
/webinars/,/webinars/,2020-03-18,Wednesday,2,100
/webinars/,/webinars/,2020-03-19,Thursday,12,85.71428571428571
/webinars/,/webinars/,2020-03-20,Friday,9,90
/webinars/,/webinars/,2020-03-21,Saturday,4,100
/webinars/,/webinars/,2020-03-22,Sunday,2,100
/webinars/,/webinars/,2020-03-23,Monday,10,100
/webinars/,/webinars/,2020-03-24,Tuesday,9,100
/webinars/,/webinars/,2020-03-25,Wednesday,10,62.5
/webinars/,/webinars/,2020-03-26,Thursday,18,66.66666666666666
/webinars/,/webinars/,2020-03-27,Friday,4,100
/webinars/,/webinars/,2020-03-28,Saturday,3,75
/webinars/,/webinars/,2020-03-29,Sunday,6,85.71428571428571
/webinars/,/webinars/,2020-03-30,Monday,8,100
/webinars/,/webinars/,2020-03-31,Tuesday,24,88.88888888888889
/webinars/,/webinars/,2020-04-01,Wednesday,16,84.21052631578947
/webinars/,/webinars/,2020-04-02,Thursday,19,90.47619047619048
/webinars/,/webinars/,2020-04-03,Friday,6,100
/webinars/,/webinars/,2020-04-04,Saturday,3,100
/webinars/,/webinars/,2020-04-05,Sunday,4,100
/webinars/,/webinars/,2020-04-06,Monday,8,88.88888888888889
/webinars/,/webinars/,2020-04-07,Tuesday,9,90
/webinars/,/webinars/,2020-04-08,Wednesday,20,80
/webinars/,/webinars/,2020-04-09,Thursday,13,72.22222222222221
/webinars/,/webinars/,2020-04-10,Friday,3,100
/webinars/,/webinars/,2020-04-11,Saturday,3,100
/webinars/,/webinars/,2020-04-12,Sunday,2,50
/webinars/,/webinars/,2020-04-13,Monday,15,88.23529411764706
/webinars/,/webinars/,2020-04-14,Tuesday,18,90
/webinars/,/webinars/,2020-04-15,Wednesday,9,90
/webinars/,/webinars/?elementor-preview=19875&ver=1585645037,2020-03-31,Tuesday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1586421950,2020-04-09,Thursday,0,0
/webinars/,/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,2020-04-13,Monday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1584633159,2020-04-12,Sunday,1,100
/webinars/,/webinars/,2020-03-23,Monday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1584970506,2020-03-23,Monday,1,100
/webinars/,/webinars/,2020-03-25,Wednesday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1585118085,2020-03-25,Wednesday,1,100
/webinars/,/webinars/,2020-03-30,Monday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1585562676,2020-03-30,Monday,1,100
/webinars/,/webinars/,2020-03-30,Monday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1585578056,2020-03-30,Monday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1585578158,2020-03-30,Monday,1,100
/webinars/,/webinars/,2020-03-31,Tuesday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1585647757,2020-03-31,Tuesday,1,100
/webinars/,/webinars/,2020-04-07,Tuesday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1586252676,2020-04-07,Tuesday,1,100
/webinars/,/webinars/,2020-04-13,Monday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1586769400,2020-04-13,Monday,1,100
/webinars/,/webinars/,2020-04-13,Monday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1586775164,2020-04-13,Monday,1,100
/webinars/,/webinars/?fbclid=IwAR0YsGs8frnLyu1Q9YQTE3eXZWtcHosku97_KkQWBi4D52UEDUmGKmtO2Yc,2020-03-19,Thursday,1,100
/webinars/,/webinars/?fbclid=IwAR1ZjALev-prSz7RnhjJBGjfzgkizKP-nxDt67FrR_reT6hPhIoyhvxwcV8,2020-03-19,Thursday,1,100
/webinars/,/webinars/?fbclid=IwAR2c7SPZcRR9idpP_kctJRycgeq8RqvgWd1NCJBlfEipulvbgvpscr34WCs,2020-03-19,Thursday,1,100
/webinars/,/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,2020-04-12,Sunday,1,100
/webinars/,/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2020-03-19,Thursday,1,100
/webinars/,/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2020-04-04,Saturday,1,50
/webinars/,/webinars/?fbclid=IwAR2Kp5S_h3fYqq1Raha_5Df2c59GWd0VYFmvVdRk0VC6xm8MXHoMu8PRhR4,2020-03-19,Thursday,1,100
/webinars/,/webinars/?fbclid=IwAR2r8kbtO1UF0vnHKCseYbygeMJ8pXRS6CojbHlqvfugxYfVogu0hyw4CO4,2020-03-19,Thursday,1,100
/webinars/,/webinars/?fbclid=IwAR32-YCc_YniV_rWqU5tVzXFlsRdCv44ifR6OM2eFq9LGYLiJ10Hr5uJxdg,2020-03-19,Thursday,1,100
/webinars/,/webinars/?fbclid=IwAR3Y8F3G_PruHPZpkS804ypmxUbnDyHXQAC4jCKQoF-jl4b3AYUPjQw6dD4,2020-03-19,Thursday,1,100
/webinars/,/webinars/,2020-04-03,Friday,0,0
/webinars/,/webinars/?elementor-preview=19875&ver=1585929109,2020-04-03,Friday,0,0
/webinars/,/webinars/?preview_id=19875&preview_nonce=55f2ba9986&preview=true,2020-04-03,Friday,1,100
/wp-content/uploads/2020/03/DIGITAL-PSD-Info-Booklet-March-2020.pdff,/webinars/,2020-03-31,Tuesday,0,0
